date,symbol,open,high,low,close,network,target_return,SMA_10,RSI,Log_Return,Volatility
2018-08-21,BTCUSDT,6251.0,6500.0,6235.08,6480.0,Bitcoin,0.035997723363027756,6350.649,45.161173283452115,0.035364946308841766,0.031770164147711534
2018-08-22,BTCUSDT,6479.98,6882.54,6251.2,6360.89,Bitcoin,-0.018381172839506132,6355.905000000001,51.75297166695157,-0.018552205695517878,0.03185465545374464
2018-08-23,BTCUSDT,6362.57,6576.99,6342.28,6525.01,Bitcoin,0.025801420870349867,6383.771000000001,49.88531339673888,0.02547418110596709,0.03269771518054484
2018-08-24,BTCUSDT,6525.0,6725.0,6440.5,6681.64,Bitcoin,0.02400456091255032,6433.127,64.49301538179526,0.023720980623559363,0.03109450619991711
2018-08-25,BTCUSDT,6686.98,6789.0,6650.61,6733.64,Bitcoin,0.007782520459048925,6479.775,63.78344194231352,0.007752392858191145,0.031163536688070623
2018-08-26,BTCUSDT,6733.64,6775.27,6568.0,6700.0,Bitcoin,-0.004995812071925454,6518.6,61.02606257495314,-0.005008332859462741,0.031071370190972874
2018-08-27,BTCUSDT,6700.0,6940.51,6646.5,6908.64,Bitcoin,0.031140298507462694,6551.015,67.2222886772729,0.030665275803412877,0.031047466022637492
2018-08-28,BTCUSDT,6907.26,7135.0,6860.0,7076.11,Bitcoin,0.024240660969452543,6619.83,71.85145449982038,0.023951519482310835,0.026895835775605594
2018-08-29,BTCUSDT,7077.0,7133.81,6912.34,7031.22,Bitcoin,-0.006343881030679177,6675.1990000000005,69.12272622611101,-0.006364088953719495,0.025908772543598857
2018-08-30,BTCUSDT,7033.21,7063.63,6784.81,6984.84,Bitcoin,-0.006596294810857883,6748.1990000000005,66.83086863675692,-0.00661814650998183,0.021201371447735498
2018-08-31,BTCUSDT,6984.84,7089.0,6888.0,7011.21,Bitcoin,0.003775319119693421,6801.32,62.16974674880221,0.003768210488415819,0.0211263362945956
2018-09-01,BTCUSDT,7011.21,7275.0,7008.74,7200.01,Bitcoin,0.026928304814718196,6885.232000000001,73.26164299586934,0.026572118202575292,0.0215927660057394
2018-09-02,BTCUSDT,7201.57,7345.45,7127.0,7302.01,Bitcoin,0.014166646990767973,6962.932000000001,73.4507082314125,0.014067237810384827,0.021292345982475185
2018-09-03,BTCUSDT,7302.0,7338.28,7191.63,7263.02,Bitcoin,-0.005339625664714243,7021.07,82.02197941811717,-0.005353932417028108,0.021140110063249336
2018-09-04,BTCUSDT,7263.0,7410.0,7227.17,7359.06,Bitcoin,0.01322314959892723,7083.611999999999,80.41561712846351,0.013136486889629234,0.02114545103636139
2018-09-05,BTCUSDT,7359.05,7397.3,6682.0,6700.0,Bitcoin,-0.08955763371952397,7083.611999999999,58.54168450854647,-0.09382468079599963,0.031085508722261943
2018-09-06,BTCUSDT,6697.27,6725.0,6265.0,6516.01,Bitcoin,-0.0274611940298507,7044.349,49.77554990273829,-0.027845300974444133,0.030364726199167483
2018-09-07,BTCUSDT,6516.84,6544.0,6320.0,6395.54,Bitcoin,-0.01848830802899326,6976.2919999999995,42.733931346952865,-0.018661352987100796,0.02987143510774608
2018-09-08,BTCUSDT,6395.54,6478.0,6111.0,6185.05,Bitcoin,-0.03291199804864009,6891.675,37.10553160683141,-0.03346578254922665,0.030584784380785903
2018-09-09,BTCUSDT,6185.06,6441.0,6141.53,6250.81,Bitcoin,0.010632088665410988,6818.272,39.598953388751255,0.010575965464806937,0.029707223930937506
2018-09-10,BTCUSDT,6252.26,6373.98,6221.0,6312.0,Bitcoin,0.009789131328579836,6748.351000000001,35.17222525970473,0.009741528192617485,0.028633438709860674
2018-09-11,BTCUSDT,6311.99,6404.0,6169.68,6294.91,Bitcoin,-0.0027075411913815017,6657.841,29.017147277493663,-0.0027112132106262396,0.028349169603146044
2018-09-12,BTCUSDT,6293.0,6360.0,6192.37,6338.62,Bitcoin,0.006943705311116544,6561.502,31.385123149531807,0.006919708808447703,0.027750980395204024
2018-09-13,BTCUSDT,6338.62,6535.0,6337.4,6487.38,Bitcoin,0.023468830754959313,6483.938,37.32728050868183,0.023197672069712336,0.027726235057037776
2018-09-14,BTCUSDT,6487.39,6584.99,6385.62,6476.63,Bitcoin,-0.0016570634061824352,6395.695,36.272405115299684,-0.0016584378543234896,0.027641115775229687
2018-09-15,BTCUSDT,6476.63,6565.45,6466.13,6514.96,Bitcoin,0.0059182012867802225,6377.191,30.935139678175247,0.0059007575235102555,0.027685102201380155
2018-09-16,BTCUSDT,6514.96,6524.62,6370.0,6505.0,Bitcoin,-0.0015287891253361607,6376.09,26.621650954188382,-0.0015299589158250337,0.026638733503232554
2018-09-17,BTCUSDT,6500.08,6533.84,6201.0,6248.69,Bitcoin,-0.03940199846272108,6361.405000000001,23.611407402011523,-0.04019927018530844,0.02707996111017575
2018-09-18,BTCUSDT,6248.69,6390.0,6224.98,6336.45,Bitcoin,0.01404454373636721,6376.545,23.280885019570135,0.013946832938242788,0.027452464921324474
2018-09-19,BTCUSDT,6336.39,6517.7,6123.0,6391.89,Bitcoin,0.008749378595270363,6390.653,38.24016610560227,0.008711324587229893,0.027624309145111946
2018-09-20,BTCUSDT,6392.0,6540.0,6325.0,6492.0,Bitcoin,0.015662034234005917,6408.653,49.02090316687463,0.015540650347712062,0.027932027755250433
2018-09-21,BTCUSDT,6492.0,6784.86,6491.0,6759.02,Bitcoin,0.04113062230437459,6455.064,63.239793688259475,0.04030725947910054,0.028872321478626322
2018-09-22,BTCUSDT,6759.01,6839.03,6627.0,6723.05,Bitcoin,-0.005321777417436335,6493.5070000000005,72.45109167389995,-0.005335988516169763,0.028587568336904755
2018-09-23,BTCUSDT,6723.05,6788.23,6661.75,6708.0,Bitcoin,-0.002238567316917184,6515.569,69.92200095864739,-0.0022410766543132558,0.028589030044769582
2018-09-24,BTCUSDT,6706.81,6730.0,6557.0,6581.39,Bitcoin,-0.01887447823494326,6526.045,61.1054770915267,-0.01905487473246544,0.028480946616331698
2018-09-25,BTCUSDT,6581.42,6584.01,6325.02,6447.54,Bitcoin,-0.02033764903766533,6519.303,55.73956664636027,-0.020547306519357253,0.019975210833294222
2018-09-26,BTCUSDT,6445.11,6557.99,6379.7,6465.12,Bitcoin,0.002726621316036848,6515.3150000000005,54.852320675105474,0.002722910827337732,0.019034475115130952
2018-09-27,BTCUSDT,6467.84,6750.0,6434.0,6689.13,Bitcoin,0.0346490088351028,6559.3589999999995,57.31640979147778,0.0340622473040466,0.01999770256485797
2018-09-28,BTCUSDT,6689.12,6814.8,6540.88,6634.58,Bitcoin,-0.008155021654535077,6589.1720000000005,55.55165020561666,-0.008188455738147228,0.018353182711622246
2018-09-29,BTCUSDT,6634.58,6636.0,6464.57,6596.38,Bitcoin,-0.005757711867216853,6609.621000000001,52.862023874804905,-0.005774351391320126,0.01838590237360123
2018-09-30,BTCUSDT,6597.66,6662.0,6533.0,6626.57,Bitcoin,0.004576752703755682,6623.0779999999995,54.213426680067926,0.00456631121771178,0.018317735466518003
2018-10-01,BTCUSDT,6626.57,6667.09,6510.0,6611.61,Bitcoin,-0.0022575782041086567,6608.3369999999995,65.10530258886206,-0.0022601303756572435,0.018311346394141285
2018-10-02,BTCUSDT,6610.0,6640.0,6494.0,6525.79,Bitcoin,-0.012980196956565715,6588.611,57.89337646744931,-0.013065175876138691,0.018597887333490742
2018-10-03,BTCUSDT,6525.79,6549.0,6430.0,6510.0,Bitcoin,-0.002419630420224972,6568.811,55.09222133119486,-0.0024225624564945406,0.01789034014598433
2018-10-04,BTCUSDT,6510.01,6643.46,6505.09,6593.79,Bitcoin,0.012870967741935413,6570.0509999999995,54.45123711069714,0.012788840788172674,0.018102864426305813
2018-10-05,BTCUSDT,6591.69,6697.0,6543.08,6635.65,Bitcoin,0.0063483975073515,6588.861999999999,43.28218420221508,0.006328331312572889,0.018109336718941577
2018-10-06,BTCUSDT,6635.65,6651.0,6566.77,6594.27,Bitcoin,-0.006236013050718303,6601.777,43.0286691784678,-0.006255538195129945,0.018173667973545464
2018-10-07,BTCUSDT,6596.44,6640.0,6525.0,6615.26,Bitcoin,0.0031830665107737133,6594.389999999999,45.01172572559651,0.0031780112791526716,0.015417484622525308
2018-10-08,BTCUSDT,6615.26,6715.6,6587.0,6673.01,Bitcoin,0.008729815608154556,6598.233,55.322288316758076,0.008691931091452958,0.015262422692488516
2018-10-09,BTCUSDT,6673.01,6685.38,6607.0,6656.61,Bitcoin,-0.002457661535049449,6604.255999999999,64.06420277960903,-0.0024606865424725453,0.01523091434638526
2018-10-10,BTCUSDT,6656.67,6659.95,6530.0,6631.0,Bitcoin,-0.003847303657567358,6604.698999999999,61.03953147877016,-0.003854723567495947,0.014940019443525986
2018-10-11,BTCUSDT,6630.21,6633.92,6205.0,6252.68,Bitcoin,-0.05705323480621316,6568.806,25.9029825200693,-0.05874545054686773,0.017451441140410435
2018-10-12,BTCUSDT,6252.71,6360.0,6209.0,6298.01,Bitcoin,0.007249691332356756,6546.028,31.226363524805024,0.007223538643362246,0.01762193759399642
2018-10-13,BTCUSDT,6298.0,6345.0,6285.07,6332.93,Bitcoin,0.005544608535076989,6528.321000000001,35.25097692333529,0.005529293776654126,0.01773103083880236
2018-10-14,BTCUSDT,6332.92,6416.0,6308.0,6339.34,Bitcoin,0.0010121697223874904,6502.876,33.479806287600795,0.0010116578240036086,0.017330624013007848
2018-10-15,BTCUSDT,6339.34,7680.0,6300.0,6752.5,Bitcoin,0.06517397710171724,6514.561,55.557659384787755,0.06313814460075089,0.022045779081787325
2018-10-16,BTCUSDT,6752.5,6900.0,6670.0,6759.27,Bitcoin,0.0010025916327287554,6531.061,59.82263058696826,0.0010020893734170356,0.022047443626242037
2018-10-17,BTCUSDT,6762.76,6811.12,6676.01,6740.89,Bitcoin,-0.002719228555746467,6543.624000000001,59.69254535837527,-0.0027229323735908574,0.020747726980193736
2018-10-18,BTCUSDT,6739.01,6796.0,6567.0,6618.96,Bitcoin,-0.018088115960948836,6538.219,51.0238283124934,-0.01825370577487822,0.021085958491722148
2018-10-19,BTCUSDT,6618.96,6648.14,6523.0,6528.88,Bitcoin,-0.013609388786153698,6525.446,45.820906037904244,-0.013702845411439162,0.0212716121939394
2018-10-20,BTCUSDT,6528.88,6617.65,6505.55,6588.4,Bitcoin,0.009116418129908821,6521.186,49.77345878648005,0.009075114428241183,0.02135203162386475
2018-10-21,BTCUSDT,6585.72,6663.9,6580.0,6590.11,Bitcoin,0.00025954708275155447,6554.928999999999,49.01472235933837,0.00025951340623444057,0.021347221081115163
2018-10-22,BTCUSDT,6590.12,6639.0,6535.27,6581.2,Bitcoin,-0.0013520259904614695,6583.248,46.260132795633204,-0.0013529408022600999,0.021134233604625893
2018-10-23,BTCUSDT,6581.2,6595.0,6515.45,6553.51,Bitcoin,-0.004207439372758692,6605.306,45.83851332805918,-0.004216315551869199,0.02115074346616296
2018-10-24,BTCUSDT,6553.51,6630.0,6547.53,6565.5,Bitcoin,0.0018295539336934397,6627.9220000000005,47.32679247747159,0.0018278823384338691,0.020952083256006483
2018-10-25,BTCUSDT,6566.81,6575.09,6502.8,6528.09,Bitcoin,-0.0056979666438199406,6605.481,65.57378903201729,-0.005714261985447439,0.020927169449709532
2018-10-26,BTCUSDT,6528.13,6600.0,6515.01,6538.63,Bitcoin,0.0016145610737596794,6583.4169999999995,64.16378234560054,0.0016132590712825106,0.020893484649659236
2018-10-27,BTCUSDT,6538.63,6558.35,6463.04,6505.6,Bitcoin,-0.005051516907976117,6559.888000000001,60.18666005923097,-0.005064318950867275,0.020899991195599595
2018-10-28,BTCUSDT,6505.6,6514.17,6453.0,6489.93,Bitcoin,-0.0024086940482046515,6546.985,58.788034407497776,-0.0024115996184044136,0.020780715177386215
