date,symbol,open,high,low,close,network,SMA_10,SMA_50,RSI,MACD,MACD_Signal,Log_Return,Volatility
2018-09-19,BTCUSDT,6336.39,6517.7,6123.0,6391.89,Bitcoin,6390.653,6640.5372,38.24016610560227,-115.23131489687967,-104.59577953352832,0.008711324587229893,0.027624309145111946
2018-09-20,BTCUSDT,6392.0,6540.0,6325.0,6492.0,Bitcoin,6408.653,6618.285599999999,49.02090316687463,-102.69433728981676,-104.21549108478601,0.015540650347712062,0.027932027755250433
2018-09-21,BTCUSDT,6492.0,6784.86,6491.0,6759.02,Bitcoin,6455.064,6602.951800000001,63.239793688259475,-70.4008723579027,-97.45256733940934,0.04030725947910054,0.028872321478626322
2018-09-22,BTCUSDT,6759.01,6839.03,6627.0,6723.05,Bitcoin,6493.5070000000005,6589.0372,72.45109167389995,-47.16683718494551,-87.39542130851657,-0.005335988516169763,0.028587568336904755
2018-09-23,BTCUSDT,6723.05,6788.23,6661.75,6708.0,Bitcoin,6515.569,6583.000400000001,69.92200095864739,-29.626589261005392,-75.84165489901434,-0.0022410766543132558,0.028589030044769582
2018-09-24,BTCUSDT,6706.81,6730.0,6557.0,6581.39,Bitcoin,6526.045,6574.144400000001,61.1054770915267,-25.646547847537477,-65.80263348871897,-0.01905487473246544,0.028480946616331698
2018-09-25,BTCUSDT,6581.42,6584.01,6325.02,6447.54,Bitcoin,6519.303,6564.3988,55.73956664636027,-32.91350630880788,-59.224808052736755,-0.020547306519357253,0.019975210833294222
2018-09-26,BTCUSDT,6445.11,6557.99,6379.7,6465.12,Bitcoin,6515.3150000000005,6559.3,54.852320675105474,-36.8295164273668,-54.74574972766276,0.002722910827337732,0.019034475115130952
2018-09-27,BTCUSDT,6467.84,6750.0,6434.0,6689.13,Bitcoin,6559.3589999999995,6567.3826,57.31640979147778,-21.60816234444428,-48.11823225101907,0.0340622473040466,0.01999770256485797
2018-09-28,BTCUSDT,6689.12,6814.8,6540.88,6634.58,Bitcoin,6589.1720000000005,6569.4784,55.55165020561666,-13.787920116007626,-41.25216982401678,-0.008188455738147228,0.018353182711622246
2018-09-29,BTCUSDT,6634.58,6636.0,6464.57,6596.38,Bitcoin,6609.621000000001,6578.525799999999,52.862023874804905,-10.5511158616373,-35.111959031540884,-0.005774351391320126,0.01838590237360123
2018-09-30,BTCUSDT,6597.66,6662.0,6533.0,6626.57,Bitcoin,6623.0779999999995,6586.4102,54.213426680067926,-5.486598387567938,-29.1868869027463,0.00456631121771178,0.018317735466518003
2018-10-01,BTCUSDT,6626.57,6667.09,6510.0,6611.61,Bitcoin,6608.3369999999995,6592.475799999999,65.10530258886206,-2.6495365672844855,-23.879416835653934,-0.0022601303756572435,0.018311346394141285
2018-10-02,BTCUSDT,6610.0,6640.0,6494.0,6525.79,Bitcoin,6588.611,6598.0646,57.89337646744931,-7.242613071993219,-20.552056082921794,-0.013065175876138691,0.018597887333490742
2018-10-03,BTCUSDT,6525.79,6549.0,6430.0,6510.0,Bitcoin,6568.811,6604.503,55.09222133119486,-12.01824152357949,-18.845293171053335,-0.0024225624564945406,0.01789034014598433
