Date,Action,Price,Amount,Reason,Balance_USDT
2026-01-18 13:02:11,BUY,95162.17,0.010508378540377814,Model,105113.12
2026-01-18 13:10:47,SELL,95130.0,0.0105,Model,105112.782215
